IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.88.63.160,443,443,true,WAW,Europe,PL,Warsaw,480,9.96
35.228.132.81,2053,443,true,ARN,Europe,SE,Stockholm,318,9.77
34.105.233.161,443,443,true,LHR,Europe,GB,London,316,9.42
34.70.91.86,443,443,true,ORD,North America,US,Chicago,232,9.25
34.69.150.180,443,443,true,ORD,North America,US,Chicago,245,9.15
34.69.150.180,443,443,true,ORD,North America,US,Chicago,391,9.09
34.69.150.180,443,443,true,ORD,North America,US,Chicago,387,9.03
34.70.91.86,443,443,true,ORD,North America,US,Chicago,215,8.98
35.202.158.120,443,443,true,ORD,North America,US,Chicago,361,8.86
34.70.91.86,443,443,true,ORD,North America,US,Chicago,354,8.80
35.202.158.120,443,443,true,ORD,North America,US,Chicago,306,8.75
34.105.189.25,443,443,true,LHR,Europe,GB,London,288,8.67
35.202.158.120,443,443,true,ORD,North America,US,Chicago,393,8.67
35.197.239.137,443,443,true,LHR,Europe,GB,London,307,8.58
34.105.140.105,443,443,true,LHR,Europe,GB,London,237,8.50
34.70.91.86,443,443,true,ORD,North America,US,Chicago,262,8.46
34.69.150.180,443,443,true,ORD,North America,US,Chicago,242,8.40
35.196.72.166,443,443,true,ATL,North America,US,Atlanta,351,8.34
34.147.196.2,443,443,true,LHR,Europe,GB,London,281,8.30
35.190.152.145,443,443,true,ATL,North America,US,Atlanta,306,8.30
34.105.130.188,443,443,true,LHR,Europe,GB,London,356,7.86
35.204.231.100,443,443,true,AMS,Europe,NL,Amsterdam,377,7.80
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,511,7.49
34.175.202.195,443,443,true,MAD,Europe,ES,Madrid,370,6.60
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,339,6.15
35.189.99.124,443,443,true,LHR,Europe,GB,London,290,5.42
34.105.130.188,443,443,true,LHR,Europe,GB,London,250,5.37
34.105.130.188,443,443,true,LHR,Europe,GB,London,211,5.19
34.142.5.107,443,443,true,LHR,Europe,GB,London,378,5.11
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,500,0.43
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,484,0.40
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,22,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,50,0.00
104.199.147.138,8080,80,false,TPE,Asia Pacific,TW,Taipei,56,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,62,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,71,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,86,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,103,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,106,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,109,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,119,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,128,0.00
35.201.107.185,80,80,false,SIN,Asia Pacific,SG,Singapore,131,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,132,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,142,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,143,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,156,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,158,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,163,0.00
34.54.241.45,80,80,false,SIN,Asia Pacific,SG,Singapore,167,0.00
35.247.124.181,80,80,false,SEA,North America,US,Seattle,169,0.00
34.49.82.120,80,80,false,SIN,Asia Pacific,SG,Singapore,170,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,175,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,SG,Singapore,178,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,179,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,180,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,181,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,185,0.00
35.247.77.66,80,80,false,SEA,North America,US,Seattle,192,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,201,0.00
34.56.143.151,80,8080,false,ORD,North America,US,Chicago,205,0.00
34.70.88.252,443,80,false,ORD,North America,US,Chicago,207,0.00
34.92.85.233,2052,2052,false,HKG,Asia Pacific,HK,Hong Kong,207,0.00
34.70.88.252,443,80,false,ORD,North America,US,Chicago,208,0.00
34.56.143.151,80,8080,false,ORD,North America,US,Chicago,208,0.00
34.60.74.134,80,80,false,ORD,North America,US,Chicago,209,0.00
35.232.39.116,80,80,false,DFW,North America,US,Dallas,209,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,210,0.00
34.60.74.134,80,80,false,ORD,North America,US,Chicago,211,0.00
35.188.87.85,80,8080,false,ORD,North America,US,Chicago,212,0.00
35.187.41.171,2083,80,false,CDG,Europe,FR,Paris,215,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,216,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,220,0.00
34.70.88.252,443,80,false,ORD,North America,US,Chicago,220,0.00
104.196.221.253,80,80,false,ATL,North America,US,Atlanta,221,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,229,0.00
34.70.88.252,443,80,false,ORD,North America,US,Chicago,230,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,239,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,242,0.00
34.74.105.17,80,8080,false,ATL,North America,US,Atlanta,243,0.00
34.74.105.17,80,8080,false,ATL,North America,US,Atlanta,256,0.00
34.105.49.234,80,80,false,SEA,North America,US,Seattle,256,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,293,0.00
34.102.16.161,80,80,false,LAX,North America,US,Los Angeles,337,0.00
34.54.159.251,80,80,false,SIN,Asia Pacific,SG,Singapore,337,0.00
